id,name,section_type,is_active,view_count,card_count,cta_label,cta_url,created_at,updated_at
1,Leadership That Innovates,Default Grid,True,0,3,,,2025-11-19 11:11:15.445278+00:00,2025-11-19 11:11:15.457843+00:00
2,Designed for Every Sphere of Influence,Default Grid,True,0,4,,,2025-11-19 11:11:15.445278+00:00,2025-11-19 11:11:15.457843+00:00
3,Specialized Systems Showcase,Default Grid,True,0,4,,,2025-11-19 11:11:15.445278+00:00,2025-11-19 11:11:15.457843+00:00
4,Real-time Executive Briefings & Alerts,Default Grid,True,0,3,,,2025-11-19 11:11:15.445278+00:00,2025-11-19 11:11:15.457843+00:00
5,Exclusive Research & Future Insights,Default Grid,True,0,2,,,2025-11-19 11:11:15.445278+00:00,2025-11-19 11:11:15.457843+00:00
6,Measuring Global Impact,Statistics,True,0,4,,,2025-11-19 11:11:15.445278+00:00,2025-11-19 11:11:15.457843+00:00
7,Customize Your Leadership Journey,Default Grid,True,0,2,,,2025-11-19 11:11:15.445278+00:00,2025-11-19 11:11:15.457843+00:00
8,Ready to Lead in the Digital Era?,Call to Action,True,0,0,Get Started Now,,2025-11-19 11:11:15.445278+00:00,2025-11-19 11:11:15.457843+00:00
10,Get In Touch,Contact Form,True,0,1,,,2025-11-19 11:11:15.445278+00:00,2025-11-19 11:11:15.457843+00:00
11,Our Teams,Team Members,True,0,3,,,2025-11-19 11:11:15.445278+00:00,2025-11-19 11:11:15.457843+00:00
